site,x,y,z,cpu_psi,fpga_psi,cpu_density,fpga_density,density_error
150,6,2,2,-2255.0477294921875,-2255.0477294921998,5085240.26228787,5085240.262287925,5.4948031902313232e-08
151,7,2,2,18387.755493164062,18387.755493164099,338109552.07638514,338109552.07638651,1.3709068298339844e-06
152,0,3,2,-6158.4843597412109,-6158.4843597412,37926929.609177113,37926929.609176978,-1.3411045074462891e-07
153,1,3,2,22592.074783325195,22592.074783325199,510401843.01535815,510401843.01535833,1.7881393432617188e-07
154,2,3,2,24282.918472290039,24282.918472289999,589660129.53188479,589660129.53188288,-1.9073486328125e-06
155,3,3,2,23183.736373901367,23183.7363739014,537485632.25455737,537485632.2545588,1.430511474609375e-06
156,4,3,2,23183.736328125,23183.736328125,537485630.13202286,537485630.13202286,0
157,5,3,2,24282.918472290039,24282.918472289999,589660129.53188479,589660129.53188288,-1.9073486328125e-06
158,6,3,2,22592.074783325195,22592.074783325199,510401843.01535815,510401843.01535833,1.7881393432617188e-07
159,7,3,2,-6158.4842681884766,-6158.4842681885002,37926928.481524959,37926928.48152525,2.905726432800293e-07
160,0,4,2,-6158.4842529296875,-6158.4842529297002,37926928.293582931,37926928.293583088,1.5646219253540039e-07
161,1,4,2,22592.074722290039,22592.074722289999,510401840.25753653,510401840.25753474,-1.7881393432617188e-06
162,2,4,2,24282.918212890625,24282.9182128906,589660116.93393517,589660116.93393397,-1.1920928955078125e-06
163,3,4,2,23183.736404418945,23183.736404418902,537485633.66958034,537485633.66957831,-2.0265579223632812e-06
164,4,4,2,23183.736450195312,23183.736450195302,537485635.79211473,537485635.79211426,-4.76837158203125e-07
165,5,4,2,24282.918380737305,24282.918380737301,589660125.08554959,589660125.08554947,-1.1920928955078125e-07
166,6,4,2,22592.074798583984,22592.074798583999,510401843.7048136,510401843.70481426,6.5565109252929688e-07
167,7,4,2,-6158.4844055175781,-6158.4844055176,37926930.173003197,37926930.173003465,2.6822090148925781e-07
168,0,5,2,18387.755554199219,18387.755554199201,338109554.32098424,338109554.32098353,-7.152557373046875e-07
169,1,5,2,-2255.0478363037109,-2255.0478363037,5085240.744018048,5085240.7440179987,-4.9360096454620361e-08
170,2,5,2,-3406.3335418701172,-3406.3335418700999,11603108.198469417,11603108.1984693,-1.1734664440155029e-07
171,3,5,2,24282.918075561523,24282.918075561502,589660110.26443255,589660110.26443148,-1.0728836059570312e-06
172,4,5,2,24282.918167114258,24282.918167114301,589660114.71076763,589660114.71076977,2.1457672119140625e-06
173,5,5,2,-3406.3335113525391,-3406.3335113525,11603107.990563318,11603107.990563052,-2.6635825634002686e-07
174,6,5,2,-2255.0476379394531,-2255.0476379395,5085239.8493763069,5085239.8493765183,2.1141022443771362e-07
175,7,5,2,18387.755645751953,18387.755645752,338109557.68788284,338109557.68788457,1.7285346984863281e-06
176,0,6,2,12867.929351806641,12867.929351806601,165583605.80308688,165583605.80308583,-1.0430812835693359e-06
177,1,6,2,-30358.384872436523,-30358.384872436502,921631532.0629828,921631532.06298137,-1.430511474609375e-06
178,2,6,2,-2255.0475769042969,-2255.0475769043001,5085239.5741019407,5085239.5741019547,1.3969838619232178e-08
179,3,6,2,22592.074554443359,22592.074554443399,510401832.67352712,510401832.67352891,1.7881393432617188e-06
180,4,6,2,22592.074752807617,22592.074752807599,510401841.63644737,510401841.63644654,-8.3446502685546875e-07
181,5,6,2,-2255.0476531982422,-2255.0476531981999,5085239.9181948993,5085239.9181947084,-1.909211277961731e-07
182,6,6,2,-30358.384674072266,-30358.384674072298,921631520.01894581,921631520.01894784,2.0265579223632812e-06
183,7,6,2,12867.92936706543,12867.929367065401,165583606.1957849,165583606.19578415,-7.4505805969238281e-07
184,0,7,2,-32336.573150634766,-32336.573150634798,1045653963.1263533,1045653963.1263553,2.0265579223632812e-06
185,1,7,2,12867.929214477539,12867.929214477501,165583602.26880455,165583602.26880357,-9.8347663879394531e-07
186,2,7,2,18387.755432128906,18387.755432128899,338109549.8317861,338109549.83178586,-2.384185791015625e-07
187,3,7,2,-6158.4845733642578,-6158.4845733642996,37926932.240365542,37926932.240366057,5.1409006118774414e-07
188,4,7,2,-6158.4845428466797,-6158.4845428466997,37926931.864481479,37926931.864481725,2.4586915969848633e-07
189,5,7,2,18387.755584716797,18387.755584716801,338109555.44328374,338109555.44328392,1.7881393432617188e-07
